name,price,status,shipping,free_returns,items_sold
,,,,False,
Nike FLEX CONTROL TR4 Mens Black White CD0197 002 Athletic Sneakers Shoes,495,Brand New,0,False,25
Nike Air Max SC Men's Shoes Sneakers Running Cross Training Gym Workout ,59,Brand New,95,True,0
Nike FLEX CONTROL TR4 Mens Grey White CD0197 001 Athletic Sneakers Shoes,495,Brand New,0,False,7
2021 Nike Air Jordan 4 Retro IV Lightning Tour Yellow CT8527-700 Men's & Kids,13990,Brand New,0,True,0
Nike Air Force One 1 Low Top White Men/Women/GS/PS/Toddler/Crib Sz 1c-15 ,5999,Brand New,156,True,53
Nike Air Force 1 '07 Low Men’s Triple White  ALL SIZES  6 to 15  New  CW2288-111,495,Brand New,0,False,0
Nike Air Jordan 1 Mid Linen College Grey Light Bone White 554724-082 Mens Sizes,17499,Brand New,0,False,0
Nike Mens Air Max 90 Ultra Mid Sneakers  Size 10,996,Pre-Owned,0,True,
Nike Fly.By Mid Mens Sneaker Basketball CD0189 600 Red Black SIZE 10.5,759,Brand New,0,True,
Nike Air Max 90 Shoes Smoke Gray White Silver DM9102-001 Men's Multi Size NEW,5990,Brand New,0,False,0
Nike air max 1 SE sz 13,500,Pre-Owned,425,False,0
Nike FLY BY MID 2 NBK Mens Black Grey CU3501 004 Basketball Sneakers Shoes,495,Brand New,0,False,0
Nike Air Force One 1 Low Top White Men/Women/GS/PS/Toddler/Crib Sz 1c-15 ,5999,Brand New,156,False,0
Nike Air Force 1 '07 Low Men’s Triple White  ALL SIZES  6 to 15  New  CW2288-111,495,Brand New,0,False,0
Nike Air Jordan 1 Mid Linen College Grey Light Bone White 554724-082 Mens Sizes,17499,Brand New,0,False,0
Nike Air Max 90 Shoes Smoke Gray White Silver DM9102-001 Men's Multi Size NEW,5990,Brand New,0,False,0
Nike Air Jordan 1 Mid SE Shoes Chile Red White Pollen DC7294-600 Men's Size NEW,5990,Brand New,0,False,0
Nike Air Max 90 Shoes Anthracite Black Gray DC9388-003 Men's Multi Size NEW,5490,Brand New,0,False,0
Nike Air Force 1 '07 Shoes White Deep Royal Blue DA8478-100 Men's Multi Size NEW,12490,Brand New,0,False,0
2021 Nike Air Jordan 4 Retro IV Lightning Tour Yellow CT8527-700 Men's & Kids,13990,Brand New,0,False,0
Nike Air Jordan 1 Mid SE Shoes Chile Red White Pollen DC7294-600 Men's Size NEW,5990,Brand New,0,False,0
Nike Court Vision Low Top Men's Shoes Sneakers Trainers,950,Brand New,95,True,0
NIKE Mens Air Precision Basketball Shoe 898455 102 White / Grey / Black  ,999,Brand New,0,False,89
Nike Air Jordan 1 Retro Mid Game Royal Blue White Black 554724/554725-140 Men GS,13800,Brand New,0,False,0
Nike Mens Zoom Gravity BQ3202-004 Black Gray Running Shoes Sneakers Size 12,99,Pre-Owned,0,True,
2016 Nike Air Jordan 3 III Retro True Blue Cement Mens 8.5 854262-106 Sneakers,100,Pre-Owned,999,False,
Nike CORTEZ BASIC LEATHER Mens Black White 819719-012 Low Sneakers Shoes,495,Brand New,0,False,
Nike Air Force 1 '07 Shoes White Deep Royal Blue DA8478-100 Men's Multi Size NEW,12490,Brand New,0,False,0
Nike Air Max 90 Shoes Anthracite Black Gray DC9388-003 Men's Multi Size NEW,5490,Brand New,0,False,0
Nike Air Jordan 1 Mid Ice Blue Size 8 Mens,500,Pre-Owned,0,False,
Nike Air Jordan Royalty 12 Retro Mens Shoe Taxi CT8013-170 GUARANTEED PREORDER,23400,Brand New,0,False,0
2014 Nike Air Jordan 3 III Infrared 23 White Mens Size 10.5 136064-123 Sneakers,900,Pre-Owned,999,False,
Nike Flexmethod TR Training Shoes Black White BQ3063-001 Men's NEW,799,Brand New,0,True,0
Nike Flow 2020 ISPA Shoes Black Turquoise Silver DM2832-001 Men's Multi Size NEW,9990,Brand New,0,False,0
Nike Air CW2288-111 Low Men’s  White  Size 12- Pre Owned,0,Pre-Owned,30,False,
Nike Air Force 1 '07 LV8 Shoes White Black Gold DA8481-100 Men's Multi Size NEW,4990,Brand New,0,False,0
Nike Air Max Motion 2 Mens Shoes Sneakers Running Cross Training Gym Workout,579,New (Other),0,True,0
Nike Air Max Excee Mens Shoes Sneakers Running Cross Training Gym Workout ,80,New (Other),0,True,0
Nike Ebernon Mid Basketball Shoes Triple White AQ1773-100 Men's NEW,799,Brand New,0,True,0
Nike Air Max 2017 Triple Black Sneakers,17999,Brand New,0,True,0
Nike Air Force 1 '07 LV8 Shoes Black Gold White DA8481-001 Men's Multi Size NEW,4490,Brand New,0,False,0
Nike Air Jordan 1 Low SE Utility Shoes White Black Red DD9337-106 Multi Size NEW,6141,Brand New,0,False,0
NIB MEN'S NIKE CQ9356 002 NIKE LEGEND ESSENTIAL 2 WHITE/BLACK/GREY RUNNING SHOES,995,Brand New,200,False,
Nike Men's Free RN Flyknit 2018 Black/White Pure Platinum  Running Shoes 10.5,995,Brand New,,False,0
NIKE Air Max Advantage Pure Platinum White Grey Men's Size 10 US Running Shoes,100,Pre-Owned,100,False,
Nike Fly.By Mid 2 NBK Basketball Shoes Black Anthracite CU3501-004 Men's NEW,799,Brand New,0,True,0
Nike Air Force 1 '07 University Blue White UNC DC2911-400 Mens Size 7-13 Sneaker,3790,Brand New,10,False,0
Nike Air Force 1 One Low Light Bone Grey White Black CT2302-001 Men Retro OG All,1999,Brand New,0,False,0
Nike Free RN Flyknit 2018 Running Shoes Black White 942838-001 Men's NEW,99,Brand New,0,True,0
Nike Air Force 1 '07 Low Men's Triple White 6.5 to 14 ALL SIZES  New CW2288-111 ,10995,Brand New,0,False,0
Nike Men's Air Force 1 07' LV8 Sneakers Olive Camo 823511-201 Size US 9,999,Pre-Owned,99,False,
Nike Dunk Low Retro White Black (GS) CW1590-100,8999,Brand New,0,False,0
NIKE MEN'S FREE RN 2018 SHOES ASSORTED SIZES 942836 001,499,Brand New,0,False,
Nike Air Tuned Max Size 10.5,0,Pre-Owned,135,False,
